"","FromChannelTitle","ChannelTitle","FromChannelId","ChannelId","Value"
"61","The Infographics Show","BRIGHT SIDE","UCfdNM3NAhaBOXCafH7krzrA","UC4rlAVgAK0SGk-yTfe48Qpw",10
"62","TODAY","OWN","UChDKyKQ59fYz3JO2fl0Z6sg","UCKBnlTTgEnhIXv_c4LvvyMQ",10
"63","Wendover Productions","RealLifeLore","UC9RM-iSvTu1uPJb8X5yp3EQ","UCP5tjEmvPItGyLhmjdwP7Ww",10
"64","50 Shades","Rekt Feminist Videos","UCa3meRxRwQrXg__x--Goxrg","UCoNGo02Aai6VQotn-MNnbpw",9
"65","American Patriot","CNN","UCG-k6xAc1QK8a9mjX2S1mNQ","UCupvZG-5ko_eiXAupbDfxWw",9
"66","AMTV","CNBC","UChD-zWutIego-bcHKOatFWA","UCvJJ_dzjViJCoLf5uKUTwoA",9
"67","CBC News: The National","CNN","UCKjU3KzdbJE1EFcHVqXC3_g","UCupvZG-5ko_eiXAupbDfxWw",9
"68","Channel 4 News","CNN","UCTrQ7HXWRRxr7OsOtodr2_w","UCupvZG-5ko_eiXAupbDfxWw",9
"69","DronetekPolitics","American Patriot","UCavk8KLWg5sWuDGrNIiqZ4A","UCG-k6xAc1QK8a9mjX2S1mNQ",9
"70","DronetekPolitics","The Liberty Hound","UCavk8KLWg5sWuDGrNIiqZ4A","UCsGg9JQ4X7u2A6gCEmtVRmw",9
"71","Fox News Insider","The Liberty Hound","UCqlYzSgsh5jdtWYfVIBoTDw","UCsGg9JQ4X7u2A6gCEmtVRmw",9
"72","Jimmy Kimmel Live","The Tonight Show Starring Jimmy Fallon","UCa6vGFO9ty8v5KZJXQxdhaw","UC8-Th83bH_thdKZDJCrn88g",9
"73","The Rubin Report","The Liberty Hound","UCJdKr0Bgd_5saZYqLCa9mng","UCsGg9JQ4X7u2A6gCEmtVRmw",9
"74","BE AMAZED","BRIGHT SIDE","UCkQO3QsgTpNTsOw6ujimT5Q","UC4rlAVgAK0SGk-yTfe48Qpw",8
"75","Ben Shapiro","Fox News","UCnQC_G5Xsjhp9fEJKuIcrSw","UCXIJgqnII2ZOINSWNOGFThA",8
