"","Id","Title","Status","SubCount"
"106","UC7Edgk9RxP7Fm7vjQ1d-cDA","feministfrequency","Seed",222569
"107","UCIRYBXDze5krPDzAEOxFGVA","Guardian News","Detected",218245
"108","UCjXB7nX8bL2U2sje8d212Yw","Roland S. Martin","Seed",209889
"109","UCK0z0_5uL7mb9IjntOKi5XQ","The Atlantic","Detected",204957
"110","UC7Q4rvzJDbHeBHYk5rnvZeA","The Humanist Report","Detected",190110
"111","UCuMo0RRtnNDuMB8DV5stEag","Rebel HQ","Detected",183070
"112","UCKgJEs_v0JB-6jWb8lIy9Xw","TheBlaze","Detected",170253
"113","UCY_Bq1AF0xvPUjaAqV7kweA","SBS Dateline","Detected",154356
"114","UCa-bX3gZC3YnCThlGM5d38Q","The Fifth Estate","Detected",153485
"115","UCi7Zk9baY1tvdlgxIML8MXg","CTV News","Detected",137259
"116","UCj7wKsOBhRD9Jy4yahkMRMw","CGTN America","Detected",134802
"117","UCrM7B7SL_g1edFOnmj-SDKg","Bloomberg Technology","Detected",120386
"118","UCqlYzSgsh5jdtWYfVIBoTDw","Fox News Insider","Detected",109377
"119","UC_ab7FFA2ACk2yTHgNan8lQ","RT UK","Detected",96962
"120","UCzIjg5vIfBGcdyLWu6lhXxw","Julie Borowski","Seed",90225
"121","UCl9roQQwv4o4OuBj3FhQdDQ","The Damage Report","Detected",86865
"122","UCdANLtOJEt-cb-OwbjftztA","Lieutenants Loft","Detected",84064
"123","UCUSySH2YjIwsDu2Hx6DWwTA","dollemore","Detected",82671
"124","UC7-G1KiA9UL9EhWM-41L83Q","Astrobum","Detected",82235
"125","UCV61VqLMr2eIhH4f51PV0gA","Bloomberg Politics","Detected",77858
"126","UCh2p1Pb4o-NXQsbL__ikakw","GLOBAL News","Detected",77666
"127","UCHkapYFq5ev4PDAxZQ_PF9Q","Skavlan","Detected",72086
"128","UC7PfGhJXlJiDs4jvGGGgqsQ","StudioBrule","Detected",70881
"129","UCb062gdTsC6FPvnzCPVvsTw","Agatan Foundation","Detected",70563
"130","UCu_u-P3cBFO7D-sAjxd_I-w","The Agenda with Steve Paikin","Detected",70473
"131","UC4-AGCUwX7C-D4BsBook9fQ","YAFTV","Detected",66791
"132","UCRPdcY4_Al8TrRtgkMzkrQQ","Tony's - 24/7 Eyes","Detected",63610
"133","UCIzXayRP7-P0ANpq-nD-h5g","The Sun","Detected",56295
"134","UCTZzJjoML2sFpq4T7CpOz8Q","LIVE ON-AIR NEWS","Detected",54485
"135","UC_0r3EheCnp-wVvndYDGviQ","ReelTruth. Crime - True Crime","Detected",53286
"136","UCF8HUTbUwPKh2Q-KpGOCVGw","CNBC Life","Detected",51111
"137","UCTlslz9vrHglTiPZAs-SLiA","BREAKING NEWS US","Detected",50097
"138","UCrp_UI8XtuYfpiqluWLD7Lw","CNBC Television","Detected",49789
"139","UCa8MaD6gQscto_Nq1i49iew","Vesti News","Detected",46056
"140","UCsqsddDXpCVeNVdQ2-3c_Ew","20/20 - Official Channel","Detected",39351
"141","UCUi58MXaCXTukyYmlCgeI9w","Gold 2020 Forecast","Detected",27580
"142","UCVOpH1nJioh1d7UgTnZ98kg","The Progressive Voice","Detected",26692
"143","UCHIGgF2sX_OO66WV2pFE5HQ","Minh Phương","Detected",12253
"144","UCLWyi8Wft-2Ty5CjVEsaUCQ","BreaKing News 24H","Detected",8778
